ID ,Total
1,14600
2,16500
3,18200
4,21600
5,18300
6,8600
7,10000
8,10500
9,12700
10,9000
11,10800
12,14200
13,13700
14,20900
15,19100
16,21700
17,17800
18,22400
19,12500
20,18800
21,15300
22,14800
23,28000
24,8100
25,7000
26,10900
27,14900
28,16600
29,12300
30,19900
31,15600
32,14500
33,11800
34,16700
35,15500
36,11100
37,8300
38,7400
39,8300
40,6100
41,7400
42,6000
43,4400
44,38500
45,21200
46,23700
47,24300
48,13400
49,19300
50,12400
51,7700
52,18900
53,18100
54,18200
55,20600
56,13000
57,13200
58,8100
59,8000
60,7900
61,7900
62,8100
63,35100
64,16400
65,17300
66,23100
67,10100
68,21500
69,16100
70,19300
71,12500
72,7500
73,4900
74,7300
75,4500
76,7100
77,4900
78,23400
79,11800
80,27800
81,13300
82,15100
83,29300
84,38700
85,38300
86,23500
87,27100
88,35000
89,26300
90,26300
91,27800
92,13600
93,22600
94,23000
95,14800
96,12800
97,15600
98,13400
99,15300
100,15000
101,13200
102,13500
103,16700
104,30900
105,37900
106,21200
107,16300
108,12500
109,13700
110,18000
111,29500
112,25500
113,35300
114,25600
115,39100
116,40500
117,27300
118,30800
119,35700
120,36600
121,20100
122,43500
123,72900
124,61500
125,47900
126,61600
127,52500
128,12500
129,41300
130,28500
131,12800
132,11300
133,11000
134,12800
135,5000
136,4200
137,20300
138,5300
139,2500
140,13800
141,12500
142,18000
143,10800
144,8000
145,12400
146,12600
147,9200
148,10300
149,17600
150,11700
151,16100
152,13100
153,8000
154,15400
155,8600
156,9300
157,8600
158,33300
159,17300
160,17600
161,19200
162,20700
163,17600
164,16300
165,11400
166,12100
167,15100
168,18400
169,18000
170,15600
171,9000
172,8300
173,7300
174,29500
175,31600
176,21300
177,28600
178,15800
179,24600
180,19400
181,14100
182,8800
183,25500
184,31600
185,32900
186,29100
187,29900
188,33900
189,30400
190,22000
191,32100
192,16800
193,18700
194,18600
195,21700
196,17800
197,19100
198,28800
199,33200
200,31800
201,38700
202,4200
203,5300
204,2000
205,3500
206,5500
207,5900
208,6600
209,5500
210,10700
211,5400
212,2600
213,6700
214,7700
215,11000
216,11300
217,11100
218,10700
219,11800
220,6700
221,8500
222,8100
223,3800
224,10000
225,8200
226,16100
227,14400
228,14000
229,10200
230,15200
231,17000
232,15900
233,10200
234,9600
235,6100
236,4800
237,6800
238,8900
239,18100
240,16000
241,15300
242,14700
243,17200
244,9600
245,8900
246,8500
247,9400
248,8800
249,9100
250,33800
251,22800
252,15700
253,13400
254,11700
255,16300
256,14700
257,8900
258,6500
259,18100
260,13400
261,5200
262,13700
263,11500
264,17300
265,16700
266,12300
267,19900
268,14700
269,15800
270,9700
271,7400
272,14900
273,15300
274,19900
275,16800
276,14200
277,5300
278,4200
279,3600
280,19500
281,15400
282,7200
283,9800
284,28200
285,31600
286,41300
287,33200
288,700
289,6900
