Country,pGDP
Andorra,26800
Antigua and Barbuda,11000
Argentina,12400
Aruba,28000
Australia,30700
Austria,31300
Bahamas The,17700
Bahrain,19200
Barbados,16400
Belgium,30600
Bermuda,36000
Botswana,9200
British Virgin Islands,38500
Brunei,23600
Canada,31500
Cayman Islands,32300
Chile,10700
Costa Rica,9600
Croatia,11200
Czech Republic,16800
Denmark,32200
Estonia,14300
Falkland Islands (Islas Malvinas),25000
Faroe Islands,22000
Finland,29000
France,28700
French Polynesia,17500
Germany,28700
Gibraltar,27900
Greece,21300
Greenland,20000
Guam,21000
Guernsey,40000
Hong Kong,34200
Hungary,14900
Iceland,31900
Ireland,31900
Israel,20800
Italy,27700
Japan,29400
Jersey,40000
Korea South,19200
Kuwait,21300
Latvia,11500
Liechtenstein,25000
Lithuania,12500
Luxembourg,58900
Macau,19400
Malaysia,9700
Malta,18200
Man Isle of,28500
Martinique,14400
Mauritius,12800
Mexico,9600
Monaco,27000
Netherlands,29500
Netherlands Antilles,11400
New Caledonia,15000
New Zealand,23200
Northern Mariana Islands,12500
Norway,40000
Oman,13100
Poland,12000
Portugal,17900
Puerto Rico,17700
Qatar,23200
Russia,9800
San Marino,34600
Saudi Arabia,12000
Singapore,27800
Slovakia,14500
Slovenia,19600
South Africa,11100
Spain,23300
Sweden,28400
Switzerland,33800
Taiwan,25300
Trinidad and Tobago,10500
Turks and Caicos Islands,11500
United Arab Emirates,25200
United Kingdom,29600
United States,40100
Uruguay,14500
Virgin Islands,17200
